state,count,year
California,38332521,2004
Texas,26448193,2004
New York,19651127,2004
Florida,19552860,2004
Illinois,12882135,2004
Pennsylvania,12773801,2004
Ohio,11570808,2004
Georgia,9992167,2004
Michigan,9895622,2004
North Carolina,9848060,2004
New Jersey,8899339,2004
Virginia,8260405,2004
Washington,6971406,2004
Massachusetts,6692824,2004
Arizona,6626624,2004
Indiana,6570902,2004
Tennessee,6495978,2004
Missouri,6044171,2004
Maryland,5928814,2004
Wisconsin,5742713,2004
Minnesota,5420380,2004
Colorado,5268367,2004
Alabama,4833722,2004
South Carolina,4774839,2004
Louisiana,4625470,2004
Kentucky,4395295,2004
Oregon,3930065,2004
Oklahoma,3850568,2004
Puerto Rico,3615086,2004
Connecticut,3596080,2004
Iowa,3090416,2004
Mississippi,2991207,2004
Arkansas,2959373,2004
Utah,2900872,2004
Kansas,2893957,2004
Nevada,2790136,2004
New Mexico,2085287,2004
Nebraska,1868516,2004
West Virginia,1854304,2004
Idaho,1612136,2004
Hawaii,1404054,2004
Maine,1328302,2004
New Hampshire,1323459,2004
Rhode Island,1051511,2004
Montana,1015165,2004
Delaware,925749,2004
South Dakota,844877,2004
Alaska,735132,2004
North Dakota,723393,2004
District of Columbia,646449,2004
Vermont,626630,2004
Wyoming,582658,2004
California,38332521,2005
Texas,26448193,2005
New York,19651127,2005
Florida,19552860,2005
Illinois,12882135,2005
Pennsylvania,12773801,2005
Ohio,11570808,2005
Georgia,9992167,2005
Michigan,9895622,2005
North Carolina,9848060,2005
New Jersey,8899339,2005
Virginia,8260405,2005
Washington,6971406,2005
Massachusetts,6692824,2005
Arizona,6626624,2005
Indiana,6570902,2005
Tennessee,6495978,2005
Missouri,6044171,2005
Maryland,5928814,2005
Wisconsin,5742713,2005
Minnesota,5420380,2005
Colorado,5268367,2005
Alabama,4833722,2005
South Carolina,4774839,2005
Louisiana,4625470,2005
Kentucky,4395295,2005
Oregon,3930065,2005
Oklahoma,3850568,2005
Puerto Rico,3615086,2005
Connecticut,3596080,2005
Iowa,3090416,2005
Mississippi,2991207,2005
Arkansas,2959373,2005
Utah,2900872,2005
Kansas,2893957,2005
Nevada,2790136,2005
New Mexico,2085287,2005
Nebraska,1868516,2005
West Virginia,1854304,2005
Idaho,1612136,2005
Hawaii,1404054,2005
Maine,1328302,2005
New Hampshire,1323459,2005
Rhode Island,1051511,2005
Montana,1015165,2005
Delaware,925749,2005
South Dakota,844877,2005
Alaska,735132,2005
North Dakota,723393,2005
District of Columbia,646449,2005
Vermont,626630,2005
Wyoming,582658,2005
California,38332521,2006
Texas,26448193,2006
New York,19651127,2006
Florida,19552860,2006
Illinois,12882135,2006
Pennsylvania,12773801,2006
Ohio,11570808,2006
Georgia,9992167,2006
Michigan,9895622,2006
North Carolina,9848060,2006
New Jersey,8899339,2006
Virginia,8260405,2006
Washington,6971406,2006
Massachusetts,6692824,2006
Arizona,6626624,2006
Indiana,6570902,2006
Tennessee,6495978,2006
Missouri,6044171,2006
Maryland,5928814,2006
Wisconsin,5742713,2006
Minnesota,5420380,2006
Colorado,5268367,2006
Alabama,4833722,2006
South Carolina,4774839,2006
Louisiana,4625470,2006
Kentucky,4395295,2006
Oregon,3930065,2006
Oklahoma,3850568,2006
Puerto Rico,7892399,2006
Connecticut,3596080,2006
Iowa,3090416,2006
Mississippi,2991207,2006
Arkansas,7432238,2006
Utah,8742398,2006
Kansas,2893957,2006
Nevada,8747498,2006
New Mexico,2085287,2006
Nebraska,1868516,2006
West Virginia,1854304,2006
Idaho,1612136,2006
Hawaii,677777,2006
Maine,1328302,2006
New Hampshire,1323459,2006
Rhode Island,1051511,2006
Montana,4545454,2006
Delaware,925749,2006
South Dakota,3124342,2006
Alaska,735132,2006
North Dakota,723393,2006
District of Columbia,3123213,2006
Vermont,1321312,2006
Wyoming,3213,2006
